vendor,contracts,actions,total_amount,noncompetitive_amount,share_of_total,cumulative_share,noncompetitive_share
"TENAQUIP LIMITED,LEVITT SAFETY LIMITED",1,1,180313.6,0.0,3e-05,0.9913,0.0
LAURIER OPTICAL,1,1,178151.73,0.0,3e-05,0.99133,0.0
PRECISE FIRE PROTECTION,1,1,177975.0,0.0,3e-05,0.99136,0.0
READ JONES CHRISTOFFERSEN LTD,4,4,177168.0,0.0,3e-05,0.99139,0.0
HOFFMANN HAYES,2,2,176910.0,176910.0,3e-05,0.99142,1.0
BOULANGER INDUSTRIAL GROUP,1,1,176845.32,176845.32,3e-05,0.99145,1.0
NEWFOUND RECRUITING CORPORATION,1,1,175702.01,0.0,3e-05,0.99148,0.0
KLEENOIL FILTRATION CANADA LTD,1,1,174904.25,174904.25,3e-05,0.99151,1.0
SINCLAIR DENTAL CO LTD,1,1,174867.0,0.0,3e-05,0.99154,0.0
CITY PAVING & INTERLOCK INC,1,1,174587.29,0.0,3e-05,0.99157,0.0
IBI GROUP PROFESSIONAL SERVICES,3,3,174520.52,0.0,3e-05,0.9916,0.0
TIREE FACILITY SOLUTIONS INC,2,2,173338.35,0.0,3e-05,0.99163,0.0
MOBYCON CORP,2,2,171780.0,0.0,3e-05,0.99166,0.0
CLELAND JARDINE ENG LTD,3,3,171622.0,0.0,3e-05,0.99169,0.0
LML PAYSAGISTE ET FRERES INC,1,1,170500.0,170500.0,3e-05,0.99172,1.0
"DAVE VAN ZYL SNOWPLOWING (1202840 ONT INC),WILLARD HAYES,GOLDIE MOHR LTD,KURTIS ARMSTRONG CONTRACTING INC",1,1,170442.02,0.0,3e-05,0.99175,0.0
MILLERS TRUCKING AND EXCAVATION LTD,3,3,170425.0,0.0,3e-05,0.99178,0.0
EATON INDUSTRIES (CANADA) COMPANY,1,2,170303.38,170303.38,3e-05,0.99181,1.0
INFOSYS PUBLIC SERVICES CANADA INC,1,1,169895.0,0.0,3e-05,0.99184,0.0
SHAVER BUSINESS PRODUCTS,5,5,169088.0,0.0,3e-05,0.99187,0.0
BROOKE RESTORATION LTD,1,1,168427.66,0.0,3e-05,0.9919,0.0
AMRIZE CANADA INC,2,2,168102.0,0.0,3e-05,0.99193,0.0
LEMAY MICHAUD ARCHITECTURE DESIGN INC,1,1,167991.6,0.0,3e-05,0.99196,0.0
INVESTIGATIVE SOLUTIONS NETWORK INC,4,4,166555.0,0.0,3e-05,0.99199,0.0
STINSON ITS INC,3,3,165511.0,165511.0,3e-05,0.99202,1.0
REGION OF WATERLOO,1,1,165000.0,165000.0,3e-05,0.99205,1.0
MANOTICK PUMPING SERVICE,3,3,164742.59,0.0,3e-05,0.99208,0.0
ROGERS CABLE TV,1,1,163729.44,0.0,3e-05,0.99211,0.0
O'REILLY BROTHERS LIMITED,1,1,162717.6,0.0,3e-05,0.99214,0.0
UNIVERSITY PAINTERS,1,1,162554.9,0.0,3e-05,0.99217,0.0
CANSEL SURVEY EQUIPMENT INC,3,3,162248.8,162248.8,3e-05,0.9922,1.0
ONTARIO RECREATION FACILITIES,1,1,160600.0,160600.0,3e-05,0.99223,1.0
KIJE SIPI LTD,2,2,160441.2,26501.2,3e-05,0.99226,0.1652
KOMUTEL INC,1,1,160000.0,160000.0,3e-05,0.99229,1.0
"DOULOS CONSTRUCTION LTD,S W FARRELL AND SONS 1979 LTD",2,2,160000.0,0.0,3e-05,0.99232,0.0
"PRODIGY PROPERTY MAINTENANCE INC,GREEN WORKS CONTRACTING INC",1,1,159257.23,0.0,3e-05,0.99235,0.0
LIFESAVING SOCIETY ONTARIO BRANCH,2,2,158000.0,158000.0,3e-05,0.99238,1.0
JUPITER ENERGY ADVISORS INC,2,2,156830.48,0.0,3e-05,0.99241,0.0
TRICO PACKAGING & PRINT SOLUTIONS,1,1,156483.63,0.0,3e-05,0.99244,0.0
EVB ENGINEERING (10097047 CANADA INC),1,1,156307.8,0.0,3e-05,0.99247,0.0
BAXTEC MECHANICAL SERVICE,2,2,156045.06,0.0,3e-05,0.9925,0.0
DAY?VIEW ELECTRIC INC,3,3,155770.32,0.0,3e-05,0.99253,0.0
SCRAP MY CAR INC. (9755373 CANADA INC),1,1,155470.5,0.0,3e-05,0.99256,0.0
COMPUTER ROOM SERVICES,1,1,154948.0,154948.0,3e-05,0.99259,1.0
"4 SEASON TAILORING & DRY CLEANING,BROWNS CLEANERS,KIM TAILORS,STITCH IT,M GOOD CUSTOM TAILOR",1,1,154574.37,0.0,3e-05,0.99262,0.0
FIRE ALERT MOBILE EXTINGUISHERS,1,1,154572.71,0.0,3e-05,0.99265,0.0
DENNERY RESOURES INC (3492125 CANADA INC),3,4,154464.6,118954.6,3e-05,0.99268,0.7701
AQUAFOR BEECH LTD,2,2,154010.45,0.0,3e-05,0.99271,0.0
CANADIAN NATIONAL RAILWAY CO,1,1,153730.5,153730.5,3e-05,0.99274,1.0
LAPOINTE DRAINAGE LTD,2,3,152935.0,0.0,3e-05,0.99277,0.0
ORBIS CANADA LTD,1,1,152879.58,0.0,3e-05,0.9928,0.0
SITEIMPROVE INC.,2,2,152382.36,114000.0,3e-05,0.99283,0.7481
UCC INDUSTRIES INTERNATIONAL,1,1,152319.4,0.0,3e-05,0.99286,0.0
FIRST BASE SOLUTIONS INC,1,1,151410.05,0.0,3e-05,0.99289,0.0
ECONOLITE CANADA INC,1,1,151339.0,151339.0,3e-05,0.99292,1.0
POLANE EXCAVATION,1,1,151000.0,0.0,3e-05,0.99295,0.0
"ASL AGRODRAIN LIMITED,KURTIS ARMSTRONG CONTRACTING INC,POLANE EXCAVATION,RW TOMLINSON LTD,REMI PERRON,STRATHMAR TRENCHING LTD,W H MACSWEYN INC",1,1,150794.17,0.0,3e-05,0.99298,0.0
DIRECT IMPACT SOLUTIONS INC,2,2,150750.0,150750.0,3e-05,0.99301,1.0
"LIONBRIDGE LTD, MCIS LANGUAGE SOLUTIONS",1,1,150000.0,0.0,3e-05,0.99304,0.0
FRED TROTTIER CONSTRUCTION LTD,1,1,150000.0,0.0,3e-05,0.99307,0.0
IRVINE INTERPRETATION INC.,1,1,150000.0,0.0,3e-05,0.9931,0.0
INFRASTRUCTURE HEALTH,1,1,150000.0,0.0,3e-05,0.99313,0.0
NAD CONSULTING,2,3,149750.0,149750.0,3e-05,0.99316,1.0
CONNECTIS GROUP,1,1,148766.3,0.0,2e-05,0.99318,0.0
BTY CONSULTANCY GROUP INC,1,1,148500.0,148500.0,2e-05,0.9932,1.0
NORTHERN BULK LOGISTICS,1,2,148428.21,0.0,2e-05,0.99322,0.0
"LUMEN,WESCO DISTRIBUTION CANADA INC",1,1,148356.75,0.0,2e-05,0.99324,0.0
INNU SCIENCE CANADA INC,1,1,148201.83,0.0,2e-05,0.99326,0.0
MEGS,2,2,147673.86,0.0,2e-05,0.99328,0.0
ENTRO COMMUNICATIONS INC,3,3,147590.0,147590.0,2e-05,0.9933,1.0
BASSI CONSTRUCTION LP,1,1,147186.97,0.0,2e-05,0.99332,0.0
DYMO RAM,1,1,146025.0,0.0,2e-05,0.99334,0.0
"ROBERT GOURLAY CARTAGE,KURTIS ARMSTRONG CONTRACTING INC",1,1,145490.0,0.0,2e-05,0.99336,0.0
OPTIV CANADA INC,1,1,145488.7,0.0,2e-05,0.99338,0.0
ICON OFFICER ENVIRONMENTS,1,1,145450.0,0.0,2e-05,0.9934,0.0
BIBLIOCOMMONS CORP,1,1,145382.91,145382.91,2e-05,0.99342,1.0
ATKINSON SCHROETER DESIGN GROUP INC,2,2,144774.66,0.0,2e-05,0.99344,0.0
A.M.B. LIFT INC.,3,3,144290.44,0.0,2e-05,0.99346,0.0
HILL + KNOWLTON STRATEGIES,3,3,143687.5,0.0,2e-05,0.99348,0.0
ACART COMMUNICATIONS INC,1,1,143540.0,0.0,2e-05,0.9935,0.0
TARPOMATIC INC,1,1,143402.0,0.0,2e-05,0.99352,0.0
ACTION CAR AND TRUCK ACCESSORIES,4,4,143049.06,0.0,2e-05,0.99354,0.0
ALAIN DEVEAU,2,3,142760.0,142760.0,2e-05,0.99356,1.0
O/A PARAVEL CONSTRUCTION (2666861 ONTARIO LTD),1,1,142450.0,0.0,2e-05,0.99358,0.0
MOMENTUM TRANSPORT CONSULTANCY INC,2,2,142240.0,142240.0,2e-05,0.9936,1.0
ATKINSREALIS CANADA INC,2,2,142215.87,0.0,2e-05,0.99362,0.0
NEDCO,2,2,141630.4,0.0,2e-05,0.99364,0.0
LRL ASSOCIATES LTD,2,2,141614.5,0.0,2e-05,0.99366,0.0
?OPTIMUS SBR INC..,1,1,141410.0,0.0,2e-05,0.99368,0.0
PREMIUM CONSTRUCTION (2449214 ONTARIO INC),2,2,140900.25,0.0,2e-05,0.9937,0.0
HEARTWOOD HOUSE,1,2,140734.99,0.0,2e-05,0.99372,0.0
NEWPRINT,2,2,140636.25,0.0,2e-05,0.99374,0.0
GILMORE REPRODUCTIONS,2,2,140391.0,0.0,2e-05,0.99376,0.0
INTERLANGUES ECOLE DE LANGUES,1,1,139995.0,0.0,2e-05,0.99378,0.0
INFINITY CONVENTION CENTER,3,3,139854.68,139854.68,2e-05,0.9938,1.0
ALLAN FYFE EQUIPMENT LTD,1,1,138400.0,138400.0,2e-05,0.99382,1.0
"J W BASTIAN CONTRACTING INC,VS LANDSCAPE GROUP",1,1,137971.16,0.0,2e-05,0.99384,0.0
HART LAUNDRY SERVICES INC,1,1,137713.42,0.0,2e-05,0.99386,0.0
"ACQUIRE TECHNOLOGY SOLUTIONS CANADA,ACQUIRE TECHNOLOGY SOLUTIONS PTY LT",1,1,136572.4,136572.4,2e-05,0.99388,1.0
TRACTION OTTAWA (A DIVISION OF UAP),1,1,136251.53,0.0,2e-05,0.9939,0.0
CURRENT SYSTEMS SERVICE,2,2,136048.31,0.0,2e-05,0.99392,0.0
CM3 ENVIRONMENTAL INC,2,2,136033.2,0.0,2e-05,0.99394,0.0
PRECISELY SOFTWARE INCORPORATED,2,2,135906.99,135906.99,2e-05,0.99396,1.0
"TRIANGLE PUMP SERVICE LTD,BGIS ENERGY & FACILITY SOLUTIONS",1,2,135714.75,0.0,2e-05,0.99398,0.0
TRANSIT SENTINEL,2,2,135502.0,135502.0,2e-05,0.994,1.0
GLENCOR ENGINEERING LTD,1,3,135000.0,0.0,2e-05,0.99402,0.0
ATLAS COPCO COMPRESSORS CANADA,1,1,133086.0,133086.0,2e-05,0.99404,1.0
RICK GRAHAM,2,2,132440.0,132440.0,2e-05,0.99406,1.0
CANADA PAVING & CONSTRUCTION (1998) LTD,1,1,131670.0,0.0,2e-05,0.99408,0.0
STRAT?OLOGY CONSULTING INC,2,2,131500.0,131500.0,2e-05,0.9941,1.0
ADVANCE PROPERTY EXPOSURE,1,1,131010.0,131010.0,2e-05,0.99412,1.0
S&G STRATEGIE INC.,1,1,131000.0,131000.0,2e-05,0.99414,1.0
HANSCOMB LIMITED,3,3,130843.97,0.0,2e-05,0.99416,0.0
"B G GORHAM CONSTRUCTION,P MUNRO GROUP INC.",1,1,130410.0,0.0,2e-05,0.99418,0.0
IDEA INC.,2,2,130083.37,0.0,2e-05,0.9942,0.0
ECOPIA TECH CORPORATION,1,1,130000.0,130000.0,2e-05,0.99422,1.0
BLASTEK ENGINEERING GROUP,1,1,129982.75,0.0,2e-05,0.99424,0.0
SITECH EASTERN CANADA LTD,1,1,129978.36,0.0,2e-05,0.99426,0.0
WESTON MODULAR INDUSTRIES LTD,1,1,129841.1,129841.1,2e-05,0.99428,1.0
SHI CANADA ULC,2,2,129578.12,0.0,2e-05,0.9943,0.0
UNIRMI S R O,1,1,129196.0,129196.0,2e-05,0.99432,1.0
QUIRC INC,1,2,128421.6,128421.6,2e-05,0.99434,1.0
GIN COR INDUSTRIES INC,2,2,128365.0,73005.0,2e-05,0.99436,0.5687
ANDRE TAILLEFER LTD,1,1,126350.0,0.0,2e-05,0.99438,0.0
"COOPER HILL LANDSCAPING INC,JAKE'S LAWN CARE,HEDGE KING INC,TMK TREE AND HEDGES INC,PREBBEL ENTERPRISES INC,DAVEY TREE EXPERT CO OF CANADA LTD,GREEN WORKS CONTRACTING INC,WEST END HEDGES",1,1,125366.01,0.0,2e-05,0.9944,0.0
IBM CANADA LIMITED,1,1,125250.0,125250.0,2e-05,0.99442,1.0
R.E.A.L.IT(9435?6714 QUEBEC INC),1,1,125034.39,0.0,2e-05,0.99444,0.0
"LIONBRIDGE LTD,IRVINE INTERPRETATION INC.",1,1,125000.0,0.0,2e-05,0.99446,0.0
VALENCIA IIP ADVISORS LTD,1,1,124970.0,124970.0,2e-05,0.99448,1.0
"GOLDIE MOHR LTD,KURTIS ARMSTRONG CONTRACTING INC, DAVE VAN ZYL SNOWPLOWING (1202840 ONT INC)",1,1,124250.0,0.0,2e-05,0.9945,0.0
HISTORIC PLASTER CONSERVATION SERVI,2,2,124000.0,0.0,2e-05,0.99452,0.0
MOORE CANADA CORP,2,2,123624.0,123624.0,2e-05,0.99454,1.0
CANADIAN URBAN,3,3,122750.0,122750.0,2e-05,0.99456,1.0
SYSTRA CANADA INC,1,1,121390.0,0.0,2e-05,0.99458,0.0
"JWK UTILITIES AND SITE SERVICES LTD,BORDER CONTROL BIRD DOGS INC",1,1,120723.0,0.0,2e-05,0.9946,0.0
THE PLANNING PARTNERSHIP LTD,1,1,120711.5,0.0,2e-05,0.99462,0.0
PRE LABS INC.,1,1,120390.0,0.0,2e-05,0.99464,0.0
HERITAGE WILDLIFE,2,2,120000.0,120000.0,2e-05,0.99466,1.0
ROSALINE J HILL ARCHITECT INC.,1,1,119612.5,0.0,2e-05,0.99468,0.0
FULL SERVICE SUPPLY,1,1,119500.0,119500.0,2e-05,0.9947,1.0
MANOR PARK MANAGEMENT INC,1,1,118350.0,118350.0,2e-05,0.99472,1.0
K WILSON ELECTRIC INC,1,1,118178.5,0.0,2e-05,0.99474,0.0
URBAN ZEN CONSTRUCTION,2,2,117817.0,0.0,2e-05,0.99476,0.0
DBA CANADA'S BIG TRUCK RENTAL (0962667 BC LTD ),1,1,117600.0,117600.0,2e-05,0.99478,1.0
SPD SALES LIMITED,3,3,117270.35,117270.35,2e-05,0.9948,1.0
GM BLUEPLAN ENGINEERING LIMITED,1,1,117162.0,0.0,2e-05,0.99482,0.0
DUTCHMASTER NURSERIES LTD,2,3,116513.53,0.0,2e-05,0.99484,0.0
"WATERHOUSE EXECUTIVE SEARCH,THE GROUP FOR ORGANIZATIONAL,LEE HECHT HARRISON KNIGHTSBRIDGE CO,ODGERS BERNDTSON CANADA INC.,LYNDA NAVEDA CONSULTING LTD,BOYDEN ONTARIO INC",1,1,116000.0,0.0,2e-05,0.99486,0.0
CRTPS INC,3,3,115699.8,0.0,2e-05,0.99488,0.0
INNOVATIVE ENVIRONMENTAL,2,2,115500.0,0.0,2e-05,0.9949,0.0
CANSEL SURVEY EQUIPMENT,2,2,115390.6,115390.6,2e-05,0.99492,1.0
XEROX CANADA LTD,1,1,115117.8,0.0,2e-05,0.99494,0.0
GELEYNSE EARTHWORKS,1,1,113990.05,0.0,2e-05,0.99496,0.0
PROSEAL ASPHALT,2,2,113750.0,0.0,2e-05,0.99498,0.0
"ALLAN MCCOY CONTRACTING INC,P MUNRO GROUP INC.,JARA SWEVICES (1786137 ONTARIO INC)",1,1,113694.57,0.0,2e-05,0.995,0.0
CLEANCRETE CUTTING (9395504 CANADA LTD.),1,1,113590.0,113590.0,2e-05,0.99502,1.0
ACKLANDS?GRAINGER INC,1,1,113033.61,0.0,2e-05,0.99504,0.0
PARAVEL CONSTRUCTION (2666861 ONTARIO LTD),2,2,112700.0,0.0,2e-05,0.99506,0.0
VISIONTEC 2008 LTD,1,1,112216.0,112216.0,2e-05,0.99508,1.0
"M & L SUPPLY, FIRE & SAFETY (3635112 CANADA INC)",2,2,111402.74,46542.74,2e-05,0.9951,0.4178
AMTRUCK LIMITED,1,1,111000.0,0.0,2e-05,0.99512,0.0
ONIX,1,1,110637.43,0.0,2e-05,0.99514,0.0
CDW CANADA CORP,1,1,110500.0,0.0,2e-05,0.99516,0.0
ONIX NETWORKING CANADA INC,1,1,110400.0,0.0,2e-05,0.99518,0.0
ROGERS WIRELESS INC,1,2,110400.0,110400.0,2e-05,0.9952,1.0
CULTURAL INTERPRETATION SERVICES? CISOC,1,1,110293.17,0.0,2e-05,0.99522,0.0
REGIONAL CRANE RENTALS,1,1,109467.21,0.0,2e-05,0.99524,0.0
CUBEX LTD,1,1,108317.18,108317.18,2e-05,0.99526,1.0
MEDISYSTEM PHARMACY,1,1,107812.86,107812.86,2e-05,0.99528,1.0
AEC SOLUTIONS INC,1,1,107690.0,0.0,2e-05,0.9953,0.0
EXPLOTECH ENGINEERING LTD,1,1,107616.0,0.0,2e-05,0.99532,0.0
BENTLEY CANADA,1,1,107343.48,107343.48,2e-05,0.99534,1.0
SYNERGY DATA CENTERS,1,1,107045.7,0.0,2e-05,0.99536,0.0
HANCO HOLDINGS INC,1,1,107000.0,0.0,2e-05,0.99538,0.0
TBL DURABLES LTD,1,1,106170.86,106170.86,2e-05,0.9954,1.0
"POLANE EXCAVATION,GERRY CREPIN CARTAGE LTD",1,1,106000.0,0.0,2e-05,0.99542,0.0
"POLANE EXCAVATION, MALWOOD (9135545 CANADA INC)",1,1,105572.0,0.0,2e-05,0.99544,0.0
WE CAN CONTRACTING INC.,1,1,105257.5,0.0,2e-05,0.99546,0.0
ADJELEIAN ALLEN RUBELI LTD,2,2,105026.2,0.0,2e-05,0.99548,0.0
TNT JUSTICE CONSULTANTS,1,1,105000.0,0.0,2e-05,0.9955,0.0
EKOS RESEARCH ASSOCIATES INC,3,3,103672.0,0.0,2e-05,0.99552,0.0
SOLOTECH,1,1,103381.54,103381.54,2e-05,0.99554,1.0
1000 ISLANDS MECHANICAL LTD,1,1,103254.8,0.0,2e-05,0.99556,0.0
POTENCIA TECHNOLOGIES INC,4,4,103169.47,25105.39,2e-05,0.99558,0.2433
STAR LIFE FIRE AND SAFETY INC,1,3,102920.6,0.0,2e-05,0.9956,0.0
"SPROUT SOCIAL, INC.",1,1,102824.3,102824.3,2e-05,0.99562,1.0
SYNTEC PROCESS EQUIPMENT,2,2,102575.0,102575.0,2e-05,0.99564,1.0
KENTAIN PRODUCTS LTD,3,3,101800.0,101800.0,2e-05,0.99566,1.0
LABWARE CANADA CORP,1,1,101478.0,101478.0,2e-05,0.99568,1.0
CPS HR CONSULTING,1,1,101248.5,0.0,2e-05,0.9957,0.0
YOUNG CARPETS INC,3,3,100683.0,0.0,2e-05,0.99572,0.0
OTTAWA LOGISTICS LTD.,1,1,100440.01,100440.01,2e-05,0.99574,1.0
"EASTERN WELDING,BLACK AND MCDONALD LTD,TAILLEFER PLUMBING AND HEATING",1,1,100000.0,0.0,2e-05,0.99576,0.0
OCCUPATIONAL SAFETY GROUP INC,1,1,100000.0,100000.0,2e-05,0.99578,1.0
CANNFORECAST LOGICIEL INC,1,1,100000.0,100000.0,2e-05,0.9958,1.0
LAND AND WILDLIFE AGENCY,1,2,100000.0,100000.0,2e-05,0.99582,1.0
"C C ENTERPRISE,OTTAWA MOVING LOGISTICS",2,2,100000.0,0.0,2e-05,0.99584,0.0
"EASTERN WELDING,NATIONAL CAPITAL CONTRACTING INC",1,1,100000.0,0.0,2e-05,0.99586,0.0
MICHELIN NORTH AMERICA CANADA INC,1,1,99995.0,99995.0,2e-05,0.99588,1.0
HELUX SYSTEMS INC.,1,1,99960.0,99960.0,2e-05,0.9959,1.0
RIGID WELDING INC,1,1,99930.0,0.0,2e-05,0.99592,0.0
KAREN LEMIEUX,1,1,99925.0,99925.0,2e-05,0.99594,1.0
UNIVERSITY OF OTTAWA,1,1,99900.0,99900.0,2e-05,0.99596,1.0
BRENNO'S WELDING SERVICE,1,1,99900.0,0.0,2e-05,0.99598,0.0
THE LOCAL EXHAUST & VENTILATION,1,1,99811.38,99811.38,2e-05,0.996,1.0
KILMARTIN CONSULTANTS LTD.,1,1,99750.0,99750.0,2e-05,0.99602,1.0
ORBIS RISK CONSULTING INC,1,1,99510.0,0.0,2e-05,0.99604,0.0
VERTEX ENVIRONMENTAL INC,1,1,99248.52,0.0,2e-05,0.99606,0.0
"AQUA DRAIN SEWER SERVICES INC,BADGER DAYLIGHTING LP,CLEAN WATER WORKS INC,HYDROCAM",1,1,99100.0,0.0,2e-05,0.99608,0.0
ANNIS O'SULLIVAN VOLLEBEKK LTD,2,2,99096.0,0.0,2e-05,0.9961,0.0
MFE INSPECTION SOLUTIONS CANADA,1,1,98700.0,0.0,2e-05,0.99612,0.0
LUCIDEA TECHNOLOGIES CORP,1,1,98670.0,0.0,2e-05,0.99614,0.0
MANAGING ENERGY INC,1,2,98616.0,98616.0,2e-05,0.99616,1.0
JEAN EL HAIBY,1,1,98400.0,98400.0,2e-05,0.99618,1.0
MVA POWER INC,1,1,98342.09,0.0,2e-05,0.9962,0.0
OUTDOOR OUTFITS LIMITED,1,1,98317.5,0.0,2e-05,0.99622,0.0
METERCOR INC,1,1,98285.6,0.0,2e-05,0.99624,0.0
THE LANDSDOWNE CONSULTING GROUP INC,2,2,98000.0,98000.0,2e-05,0.99626,1.0
HOLT RESTORATION LTD,1,1,97955.0,0.0,2e-05,0.99628,0.0
GTAs FINEST RESTORATION SERVICES OT,1,1,97900.0,0.0,2e-05,0.9963,0.0
NOBLE CORPORATION,3,3,97702.14,0.0,2e-05,0.99632,0.0
CIVICA INFRASTRUCTURE INC,1,1,97324.5,97324.5,2e-05,0.99634,1.0
SURGENOR HYUNDAI,2,2,97218.05,0.0,2e-05,0.99636,0.0
CONSTRUCTION DJL INC,1,1,97140.74,0.0,2e-05,0.99638,0.0
"MECHANICAL SOLUTIONS, INC",1,1,97065.05,97065.05,2e-05,0.9964,1.0
NATIONAL PROCESS EQUIPMENT,1,1,97050.0,97050.0,2e-05,0.99642,1.0
STOREIMAGE/EXPOZONE,1,1,96400.0,0.0,2e-05,0.99644,0.0
PATRON SOLUTIONS DBA PACIOLAN,1,1,96000.0,96000.0,2e-05,0.99646,1.0
RAPISCAN SYSTEMS INC.,1,1,95590.63,0.0,2e-05,0.99648,0.0
EDGE WATER DNA INC,2,2,95300.0,95300.0,2e-05,0.9965,1.0
"MAURICE DESCHAMBAULT,RW TOMLINSON LTD,ROBERT GOURLAY CARTAGE",1,1,95155.0,0.0,2e-05,0.99652,0.0
KIEWIT-DUFFERIN MIDTOWN PARTNERSHIP,1,1,95144.5,95144.5,2e-05,0.99654,1.0
MICUCCI CONTRACTING INC,1,1,94600.0,0.0,2e-05,0.99656,0.0
O/A BRITT CONSTRUCTION (1649330 ONTARIO INC),2,2,94172.5,0.0,2e-05,0.99658,0.0
"POLANE EXCAVATION,JOSH LASALLE CONSTRUCTION",1,1,93600.0,0.0,2e-05,0.9966,0.0
RE CLIMATE,1,1,92725.0,92725.0,2e-05,0.99662,1.0
LOWE MARTIN COMPANY INC,3,3,92683.0,0.0,2e-05,0.99664,0.0
CANADIAN LOCK & SUPPLY LTD,2,2,92578.86,0.0,2e-05,0.99666,0.0
DEFRAN INC MARBEL ENT,1,1,92222.0,0.0,2e-05,0.99668,0.0
OTTAWA EQUIPMENT AND HYDRAULIC INC,1,1,92000.0,92000.0,2e-05,0.9967,1.0
NOTRA INC,1,1,91899.5,91899.5,2e-05,0.99672,1.0
REMI PERRON,1,2,91740.0,0.0,2e-05,0.99674,0.0
DYNAMAT INC,1,1,91000.0,0.0,2e-05,0.99676,0.0
ADVANTAGE COCHRANE SPORT INC,1,1,90575.0,0.0,2e-05,0.99678,0.0
BIBLIOTHECA CANADA INC,1,1,90026.09,90026.09,2e-05,0.9968,1.0
"OTTAWA METRO TOWING AND RECOVERY IN,GERVAIS MOTORS LIMITED",2,2,90000.0,0.0,2e-05,0.99682,0.0
MAI JANITORIAL SERVICES LTD,1,2,89557.89,0.0,2e-05,0.99684,0.0
M&M INTERIOR CONTRACTING LTD.,1,1,89479.7,0.0,1e-05,0.99685,0.0
LAVEXCO INC,1,1,89372.5,0.0,1e-05,0.99686,0.0
"DAVE VAN ZYL SNOWPLOWING (1202840 ONT INC),WILLARD HAYES",1,1,89047.27,0.0,1e-05,0.99687,0.0
GRAITEC INC,2,2,88230.0,37190.0,1e-05,0.99688,0.4215
SCOOTER ROOTER,2,2,88151.24,0.0,1e-05,0.99689,0.0
DONALD SERVANT ELECTRIC LIMITED,1,1,88046.62,0.0,1e-05,0.9969,0.0
P1 CONSULTING INC,2,2,87826.88,87826.88,1e-05,0.99691,1.0
SITECH MID-CANADA LTD,1,1,87395.66,0.0,1e-05,0.99692,0.0
ASSOCIATE AIR MECHANICAL SYSTEMS,2,2,87270.0,26270.0,1e-05,0.99693,0.301
RICHARD ASHE,2,2,87187.5,87187.5,1e-05,0.99694,1.0
FDF GROUP,1,1,86466.15,0.0,1e-05,0.99695,0.0
BEACON LITE (OTTAWA) LTD,1,1,86088.62,0.0,1e-05,0.99696,0.0
"WHELAN TRUCK REPAIR INC,PRECISION DIESEL",1,1,85000.0,85000.0,1e-05,0.99697,1.0
STAR MOTORS OF OTTAWA,1,1,84803.35,0.0,1e-05,0.99698,0.0
PRIORITY SECURITY GROUP (9434-5543 QUEBEC INC),1,1,84550.0,0.0,1e-05,0.99699,0.0
RECORDPOINT SOFTWARE USA LLC,1,1,84456.72,0.0,1e-05,0.997,0.0
GC CONSTRUCTION,2,2,84231.34,0.0,1e-05,0.99701,0.0
"M&L SUPPLY,FIRE & SAFETY (3635112 CANADA INC)",1,1,83400.0,83400.0,1e-05,0.99702,1.0
UNIVERSAL PROTECTION SERVICE OF CA,1,1,83389.74,0.0,1e-05,0.99703,0.0
CANADIAN SAFETY EQUIPMENT INC,2,2,82505.0,0.0,1e-05,0.99704,0.0
CHRISTIE LITES OTTAWA,2,2,82460.9,0.0,1e-05,0.99705,0.0
BEREKET CLEANING AND MAINTENANCE COMPANY,1,1,82357.9,0.0,1e-05,0.99706,0.0
"ALLAN MCCOY CONTRACTING INC, JARA SERVICES (1786137 ONTARIO INC)",1,1,81723.62,0.0,1e-05,0.99707,0.0
GUILLEVIN INTERNATIONAL,1,1,81505.01,0.0,1e-05,0.99708,0.0
MANDEL SCIENTIFIC COMPANY INC,1,1,81504.0,0.0,1e-05,0.99709,0.0
J B FOREST PRODUCTS LTD,1,1,81370.0,0.0,1e-05,0.9971,0.0
CANADIAN INTERNET,1,1,81000.0,81000.0,1e-05,0.99711,1.0
ALBION SCREEN PRINTING INC,3,3,80946.0,0.0,1e-05,0.99712,0.0
PACIFIC SAFETY PRODUCTS INC,2,2,80854.54,42433.54,1e-05,0.99713,0.5248
SHAWN ROBINSON REFRIGERATION,1,1,80740.0,0.0,1e-05,0.99714,0.0
AKIPS PTY LTD,1,1,80721.0,80721.0,1e-05,0.99715,1.0
MARKITTABLE INC.,1,1,80583.0,0.0,1e-05,0.99716,0.0
"CAPITAL BACKFLOW CORP,TAILLEFER PLUMBING AND HEATING",2,2,80508.5,0.0,1e-05,0.99717,0.0
THE COMPUTER MEDIA GROUP,1,1,80486.34,0.0,1e-05,0.99718,0.0
KILLIN PRMC INC,2,2,80170.0,80170.0,1e-05,0.99719,1.0
EASTERN FARM MACHINERY LTD,1,1,80000.0,0.0,1e-05,0.9972,0.0
HELPSEEKER INC,1,2,80000.0,80000.0,1e-05,0.99721,1.0
N. HARRIS COMPUTER CORPORATION,1,1,80000.0,0.0,1e-05,0.99722,0.0
EVERLINE OTTAWA & MTL OUEST,1,1,80000.0,0.0,1e-05,0.99723,0.0
ONTARIO MUNICIPAL SOCIAL,1,1,79900.0,79900.0,1e-05,0.99724,1.0
MUNICIPAL WATER SOLUTIONS INC,1,1,79650.0,79650.0,1e-05,0.99725,1.0
